순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
314 ,뽀로로 극장판 슈퍼썰매 대모험,2013년 1월 23일 수요일,1542000 ,0.0%,6830036000 ,302 ,931953 ,1 ,36 ,한국,한국,"(주)오콘,중국오락문화투자유한회사",씨제이이앤엠(주),전체관람가,애니메이션,박영균,"이선,이미자,김환진,함수정,홍소영,조현정,정미숙,강승훈,김남희,김은정,김정달,김태훈,노영란,박민교,박영수,박장호,윤창섭"
315 ,여동생 친구,2018년 5월 23일 수요일,1451000 ,0.0%,1451000 ,297 ,297 ,10 ,20 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
316 ,SIFF2018-폐막식,,2044000 ,0.0%,2044000 ,296 ,296 ,1 ,1 ,한국,한국,,,,기타,,
317 ,여기자 20년,1978년 11월 12일 일요일,586000 ,0.0%,586000 ,293 ,293 ,1 ,8 ,한국,한국,(주)동아수출공사,,전체관람가,"드라마,사극",김수용,"황정아,이순재,이대엽,최남현"
318 ,굿바이 싱글,2016년 6월 29일 수요일,576000 ,0.0%,16913282195 ,288 ,2108561 ,1 ,10 ,한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람"
319 ,육체의 약속,1975년 7월 26일 토요일,2232000 ,0.0%,4676000 ,283 ,1504 ,1 ,6 ,한국,한국,(주)동아수출공사,,12세이상관람가,멜로/로맨스,김기영,"이정길,김지미"
320 ,플레이온,,1663500 ,0.0%,1663500 ,282 ,282 ,1 ,15 ,한국,한국,,,,다큐멘터리,변규리,
321 ,SIFF2017-경쟁단편 4,,1921700 ,0.0%,1921700 ,281 ,281 ,1 ,3 ,한국,한국,,,,기타,,
321 ,럭키,2016년 10월 13일 목요일,562000 ,0.0%,56445023256 ,281 ,6975571 ,1 ,13 ,한국,한국,(주)용필름,(주)쇼박스,15세이상관람가,코미디,이계벽,"유해진,이준,조윤희,임지연,전혜빈,이동휘,박선용,박은미,정소리,이승철,최시형,홍의권,문광식,김기정,고준,차엽,이성욱"
323 ,가을비 우산속에,1979년 8월 23일 목요일,556000 ,0.0%,6326000 ,278 ,3164 ,1 ,8 ,한국,한국,(주)동아수출공사,,국민학생관람불가,"드라마,멜로/로맨스",석래명,"신성일,정윤희,김자옥,문정숙"
