개별감독,누적매출액,누적관객수,스크린수
강현,698000,248,2
박승배,1604500,242,3
성기만,1352000,236,36
남기웅,1463000,231,4
강유민,1089000,216,21
화니,940000,214,20
최민,1413000,212,61
이주헌,1492000,203,3
준세,884000,200,22
박은호,1034000,193,20
신성진,972000,186,20
이상수,970000,186,23
김순수,1003000,181,21
지슬,1007000,181,20
김다니엘,994000,180,21
백마,999000,180,21
이재상,927000,177,20
정미나,932000,177,20
조연수,1134000,172,2
최정자,938000,172,20
김이슬,761000,170,129
노세기,938000,169,20
이철민,907000,168,20
이두희,847000,167,21
백석동,858000,166,20
이강림,845000,165,20
양호열,826000,165,20
금마성,850000,165,20
윤중부,854000,162,21
김현철,851000,161,20
이마오카 신지,805000,159,20
강대만,799000,159,20
박성수,1216000,156,2
류스케 하마구치,1036500,140,1
송은주,799000,139,19
홍성수,757000,135,21
신종걸,1106000,130,1
이원우,1170000,130,1
차윤영,630000,128,20
배창호,667000,128,2
장두만,688000,126,23
채준우,661000,126,21
마현진,703000,120,20
김노경,739000,93,1
김한준,736000,92,1
박용운,643500,85,1
허재형,1071000,83,1
송능한,620500,82,1
박성미,587000,79,2
백감독,158000,79,1
경순,360000,70,1
국영수,270000,54,1
박철수,270000,54,1
김한규,270000,54,1
소팔석,270000,54,1
신재천,324000,54,1
박보상,300000,50,1
이정욱,246000,48,1
한상민,275500,46,2
김빛나,111000,21,21
홍상수,114500,20,1
윤성호,107000,16,1
김선웅,128000,15,1
안재훈,75000,15,1
용이,100000,14,1
무명,123000,14,5
이상민,66000,11,11
김춘찬,65000,10,2
고락중,59000,9,2
정흥순,36000,9,1
김정호,18000,9,1
고구마,72000,8,1
김정오,37000,7,7
김민식,39000,7,7
최강호,40000,7,7
김재영,29000,5,1
조조 히데오,19000,4,3
송정규,10000,3,2
최원석,12000,2,1
이제락,14000,2,1
최경진,16000,2,2
윤대이,3000,1,1
강정훈,5000,1,1
제임스 리,5000,1,1
장정관,5000,1,1
김동현,3000,1,1
양석우,3000,1,1
전도한,8000,1,1
김주만,5000,1,1
송재덕,6000,1,1
김태식,5000,1,1
지헌,8000,1,1
도봉산,6000,1,1
노성수,8000,1,1
장선우,0,0,1
어일선,0,0,1
김기덕,0,0,1
정다운,0,0,1
