순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index,KNN
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,류준열,1,2019,1,0,3,8,15,5,1214237.9999999995
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,조정석,1,2019,1,0,2,8,66,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,조정석,1,2019,1,0,3,8,66,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,염정아,1,2019,1,0,2,8,67,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,염정아,1,2019,1,0,3,8,67,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,전혜진,1,2019,1,0,2,8,68,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,전혜진,1,2019,1,0,3,8,68,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,손석구,1,2019,1,0,2,8,69,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,손석구,1,2019,1,0,3,8,69,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,김기범,1,2019,1,0,2,8,70,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,김기범,1,2019,1,0,3,8,70,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,이학주,1,2019,1,0,2,8,71,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,이학주,1,2019,1,0,3,8,71,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,정수지,1,2019,1,0,2,8,72,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,정수지,1,2019,1,0,3,8,72,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,배유람,1,2019,1,0,2,8,73,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,배유람,1,2019,1,0,3,8,73,5,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,이성욱,1,2019,1,0,2,8,32,5,1069865.0000000005
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,이성욱,1,2019,1,0,3,8,32,5,1069865.0000000005
10,걸캅스,13807476134.0,13807476134.0,1628963,1628963,973,씨제이이앤엠(주),15세관람가,코미디,정다원,라미란,5,2019,0,0,0,9,55,2,988451.9999999999
